<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DCC,20090131.0,4.405,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090132.0,6.6075,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090133.0,7.70875,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090134.0,8.259375,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090135.0,8.5346875,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090136.0,8.67234375,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090137.0,8.741171875,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090138.0,8.7755859375,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090139.0,8.79279296875,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090140.0,8.80139648438,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090141.0,8.80569824219,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090142.0,8.80784912109,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090143.0,8.80892456055,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090144.0,8.80946228027,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090145.0,8.80973114014,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090146.0,8.80986557007,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090147.0,8.80993278503,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090148.0,8.80996639252,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090149.0,8.80998319626,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090150.0,8.80999159813,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090151.0,8.80999579906,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090152.0,8.80999789953,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090153.0,8.80999894977,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DCC,20090154.0,8.80999947488,4.545,4.405,4.545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
