<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
FPT,20090131.0,5.65,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090132.0,8.475,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090133.0,9.8875,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090134.0,10.59375,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090135.0,10.946875,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090136.0,11.1234375,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090137.0,11.21171875,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090138.0,11.255859375,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090139.0,11.2779296875,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090140.0,11.2889648438,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090141.0,11.2944824219,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090142.0,11.2972412109,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090143.0,11.2986206055,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090144.0,11.2993103027,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090145.0,11.2996551514,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090146.0,11.2998275757,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090147.0,11.2999137878,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090148.0,11.2999568939,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090149.0,11.299978447,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090150.0,11.2999892235,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090151.0,11.2999946117,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090152.0,11.2999973059,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090153.0,11.2999986529,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090154.0,11.2999993265,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090155.0,11.2999996632,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090156.0,11.2999998316,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FPT,20090157.0,11.2999999158,5.665,5.495,5.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
