<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
GHA,20090131.0,4.595,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090132.0,6.8925,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090133.0,8.04125,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090134.0,8.615625,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090135.0,8.9028125,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090136.0,9.04640625,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090137.0,9.118203125,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090138.0,9.1541015625,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090139.0,9.17205078125,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090140.0,9.18102539062,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090141.0,9.18551269531,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090142.0,9.18775634766,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090143.0,9.18887817383,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090144.0,9.18943908691,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090145.0,9.18971954346,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090146.0,9.18985977173,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090147.0,9.18992988586,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090148.0,9.18996494293,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090149.0,9.18998247147,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090150.0,9.18999123573,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090151.0,9.18999561787,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090152.0,9.18999780893,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090153.0,9.18999890447,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090154.0,9.18999945223,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090155.0,9.18999972612,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090156.0,9.18999986306,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090157.0,9.18999993153,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090158.0,9.18999996576,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090159.0,9.18999998288,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090160.0,9.18999999144,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHA,20090161.0,9.18999999572,4.595,4.595,4.595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
