<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HBC,20090131.0,1.16,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090132.0,1.74,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090133.0,2.03,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090134.0,2.175,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090135.0,2.2475,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090136.0,2.28375,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090137.0,2.301875,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090138.0,2.3109375,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090139.0,2.31546875,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090140.0,2.317734375,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090141.0,2.3188671875,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090142.0,2.31943359375,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090143.0,2.31971679687,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090144.0,2.31985839844,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090145.0,2.31992919922,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090146.0,2.31996459961,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090147.0,2.3199822998,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090148.0,2.3199911499,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090149.0,2.31999557495,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090150.0,2.31999778748,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090151.0,2.31999889374,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090152.0,2.31999944687,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090153.0,2.31999972343,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090154.0,2.31999986172,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090155.0,2.31999993086,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090156.0,2.31999996543,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090157.0,2.31999998271,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090158.0,2.31999999136,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090159.0,2.31999999568,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090160.0,2.31999999784,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090161.0,2.31999999892,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090162.0,2.31999999946,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090163.0,2.31999999973,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090164.0,2.31999999986,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090165.0,2.31999999993,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090166.0,2.31999999997,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090167.0,2.31999999998,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090168.0,2.31999999999,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090169.0,2.32,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBC,20090170.0,2.32,1.16,1.13,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
