<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HIG,20090131.0,5.355,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090132.0,8.0325,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090133.0,9.37125,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090134.0,10.040625,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090135.0,10.3753125,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090136.0,10.54265625,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090137.0,10.626328125,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090138.0,10.6681640625,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090139.0,10.6890820313,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090140.0,10.6995410156,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090141.0,10.7047705078,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090142.0,10.7073852539,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090143.0,10.708692627,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090144.0,10.7093463135,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090145.0,10.7096731567,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090146.0,10.7098365784,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090147.0,10.7099182892,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090148.0,10.7099591446,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090149.0,10.7099795723,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090150.0,10.7099897861,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090151.0,10.7099948931,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090152.0,10.7099974465,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090153.0,10.7099987233,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HIG,20090154.0,10.7099993616,5.355,4.825,4.945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
