<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HLA,20090131.0,4.365,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090132.0,6.5475,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090133.0,7.63875,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090134.0,8.184375,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090135.0,8.4571875,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090136.0,8.59359375,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090137.0,8.661796875,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090138.0,8.6958984375,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090139.0,8.71294921875,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090140.0,8.72147460938,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090141.0,8.72573730469,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090142.0,8.72786865234,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090143.0,8.72893432617,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090144.0,8.72946716309,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090145.0,8.72973358154,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090146.0,8.72986679077,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090147.0,8.72993339539,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090148.0,8.72996669769,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090149.0,8.72998334885,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090150.0,8.72999167442,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090151.0,8.72999583721,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090152.0,8.72999791861,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090153.0,8.7299989593,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090154.0,8.72999947965,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090155.0,8.72999973983,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090156.0,8.72999986991,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090157.0,8.72999993496,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090158.0,8.72999996748,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090159.0,8.72999998374,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090160.0,8.72999999187,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090161.0,8.72999999593,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090162.0,8.72999999797,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090163.0,8.72999999898,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090164.0,8.72999999949,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090165.0,8.72999999975,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090166.0,8.72999999987,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090167.0,8.72999999994,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090168.0,8.72999999997,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090169.0,8.72999999998,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090170.0,8.72999999999,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090171.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090172.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090173.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090174.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090175.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090176.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090177.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090178.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090179.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090180.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090181.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090182.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090183.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090184.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090185.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090186.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090187.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090188.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090189.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090190.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090191.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090192.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090193.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090194.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090195.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090196.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090197.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090198.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090199.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090200.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090201.0,8.73,4.365,4.325,4.325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090202.0,8.73,8.73,8.65,8.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090203.0,8.35,8.42,8.27,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090204.0,8.49,8.49,8.11,8.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090205.0,8.34,8.42,7.96,7.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090206.0,8.05,8.05,7.97,8.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090207.0,8.12,4.095,4.02,4.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090208.0,8.155,4.095,4.02,4.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090209.0,8.19,8.19,8.04,8.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090210.0,8.11,8.11,7.89,8.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090211.0,7.82,7.82,7.74,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090212.0,7.59,7.74,7.44,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090213.0,7.74,7.74,7.51,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090214.0,7.665,3.945,3.795,3.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090215.0,7.6275,3.945,3.795,3.795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090216.0,7.59,7.89,7.59,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090217.0,7.59,7.59,7.21,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090218.0,7.21,7.59,7.21,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090219.0,7.59,7.74,7.29,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090220.0,7.44,7.67,7.44,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090221.0,7.365,3.87,3.605,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090222.0,7.3275,3.87,3.605,3.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090223.0,7.29,7.74,7.21,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090224.0,7.36,7.59,7.36,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090225.0,7.74,7.74,7.59,7.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090226.0,7.59,7.59,7.36,7.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090227.0,7.59,7.67,7.44,7.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090228.0,7.625,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090229.0,7.6425,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090230.0,7.65125,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090231.0,7.655625,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090232.0,7.6578125,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090233.0,7.65890625,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090234.0,7.659453125,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090235.0,7.6597265625,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090236.0,7.65986328125,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090237.0,7.65993164063,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090238.0,7.65996582031,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090239.0,7.65998291016,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090240.0,7.65999145508,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090241.0,7.65999572754,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090242.0,7.65999786377,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090243.0,7.65999893188,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090244.0,7.65999946594,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090245.0,7.65999973297,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090246.0,7.65999986649,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090247.0,7.65999993324,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090248.0,7.65999996662,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090249.0,7.65999998331,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090250.0,7.65999999166,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090251.0,7.65999999583,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090252.0,7.65999999791,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090253.0,7.65999999896,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090254.0,7.65999999948,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090255.0,7.65999999974,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090256.0,7.65999999987,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090257.0,7.65999999993,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090258.0,7.65999999997,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090259.0,7.65999999998,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090260.0,7.65999999999,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090261.0,7.66,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090262.0,7.66,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLA,20090263.0,7.66,3.83,3.715,3.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
