<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HPS,20090131.0,1.915,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090132.0,2.8725,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090133.0,3.35125,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090134.0,3.590625,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090135.0,3.7103125,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090136.0,3.77015625,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090137.0,3.800078125,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090138.0,3.8150390625,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090139.0,3.82251953125,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090140.0,3.82625976563,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090141.0,3.82812988281,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090142.0,3.82906494141,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090143.0,3.8295324707,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090144.0,3.82976623535,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090145.0,3.82988311768,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090146.0,3.82994155884,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090147.0,3.82997077942,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090148.0,3.82998538971,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090149.0,3.82999269485,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090150.0,3.82999634743,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090151.0,3.82999817371,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090152.0,3.82999908686,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090153.0,3.82999954343,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090154.0,3.82999977171,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HPS,20090155.0,3.82999988586,1.915,1.86,1.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
