<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ICF,20090131.0,2.72,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090132.0,4.08,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090133.0,4.76,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090134.0,5.1,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090135.0,5.27,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090136.0,5.355,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090137.0,5.3975,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090138.0,5.41875,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090139.0,5.429375,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090140.0,5.4346875,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090141.0,5.43734375,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090142.0,5.438671875,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090143.0,5.4393359375,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090144.0,5.43966796875,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090145.0,5.43983398438,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090146.0,5.43991699219,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090147.0,5.43995849609,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090148.0,5.43997924805,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090149.0,5.43998962402,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090150.0,5.43999481201,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090151.0,5.43999740601,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090152.0,5.439998703,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090153.0,5.4399993515,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090154.0,5.43999967575,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090155.0,5.43999983788,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090156.0,5.43999991894,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090157.0,5.43999995947,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090158.0,5.43999997973,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090159.0,5.43999998987,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090160.0,5.43999999493,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090161.0,5.43999999747,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090162.0,5.43999999873,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090163.0,5.43999999937,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090164.0,5.43999999968,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090165.0,5.43999999984,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090166.0,5.43999999992,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090167.0,5.43999999996,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090168.0,5.43999999998,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090169.0,5.43999999999,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090170.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090171.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090172.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090173.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090174.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090175.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090176.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090177.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090178.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090179.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090180.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090181.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090182.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090183.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090184.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090185.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090186.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090187.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090188.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090189.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICF,20090190.0,5.44,2.755,2.615,2.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
