<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
IFS,20090131.0,3.65,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090132.0,5.475,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090133.0,6.3875,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090134.0,6.84375,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090135.0,7.071875,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090136.0,7.1859375,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090137.0,7.24296875,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090138.0,7.271484375,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090139.0,7.2857421875,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090140.0,7.29287109375,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090141.0,7.29643554687,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090142.0,7.29821777344,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090143.0,7.29910888672,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090144.0,7.29955444336,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090145.0,7.29977722168,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090146.0,7.29988861084,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090147.0,7.29994430542,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090148.0,7.29997215271,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090149.0,7.29998607635,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090150.0,7.29999303818,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090151.0,7.29999651909,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090152.0,7.29999825954,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090153.0,7.29999912977,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090154.0,7.29999956489,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090155.0,7.29999978244,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090156.0,7.29999989122,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090157.0,7.29999994561,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090158.0,7.29999997281,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090159.0,7.2999999864,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090160.0,7.2999999932,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090161.0,7.2999999966,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090162.0,7.2999999983,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090163.0,7.29999999915,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090164.0,7.29999999958,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090165.0,7.29999999979,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090166.0,7.29999999989,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090167.0,7.29999999995,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090168.0,7.29999999997,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090169.0,7.29999999999,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090170.0,7.29999999999,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090171.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090172.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090173.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090174.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090175.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090176.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090177.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090178.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090179.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090180.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090181.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090182.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090183.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090184.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090185.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090186.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090187.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090188.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090189.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090190.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090191.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090192.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090193.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090194.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090195.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090196.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090197.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090198.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090199.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090200.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090201.0,7.3,3.75,3.65,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090202.0,7.3,7.5,7.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090203.0,7.5,7.5,7.2,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090204.0,7.2,7.5,7.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090205.0,7.3,7.3,7.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090206.0,7.2,7.2,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090207.0,7.0,3.6,3.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090208.0,6.9,3.6,3.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090209.0,6.8,7.2,6.8,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090210.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090211.0,7.0,7.0,6.8,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090212.0,6.5,6.9,6.5,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090213.0,6.9,6.9,6.6,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090214.0,6.6,3.2,3.15,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090215.0,6.45,3.2,3.15,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090216.0,6.3,6.4,6.3,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090217.0,6.0,6.3,6.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090218.0,6.0,6.5,6.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IFS,20090219.0,6.6,6.6,6.2,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
