<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KDC,20090131.0,2.28,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090132.0,3.42,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090133.0,3.99,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090134.0,4.275,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090135.0,4.4175,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090136.0,4.48875,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090137.0,4.524375,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090138.0,4.5421875,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090139.0,4.55109375,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090140.0,4.555546875,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090141.0,4.5577734375,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090142.0,4.55888671875,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090143.0,4.55944335937,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090144.0,4.55972167969,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090145.0,4.55986083984,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090146.0,4.55993041992,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090147.0,4.55996520996,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090148.0,4.55998260498,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090149.0,4.55999130249,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090150.0,4.55999565125,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090151.0,4.55999782562,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090152.0,4.55999891281,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090153.0,4.55999945641,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090154.0,4.5599997282,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090155.0,4.5599998641,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090156.0,4.55999993205,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090157.0,4.55999996603,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090158.0,4.55999998301,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090159.0,4.55999999151,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090160.0,4.55999999575,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090161.0,4.55999999788,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090162.0,4.55999999894,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090163.0,4.55999999947,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090164.0,4.55999999973,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090165.0,4.55999999987,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090166.0,4.55999999993,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090167.0,4.55999999997,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090168.0,4.55999999998,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090169.0,4.55999999999,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090170.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090171.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090172.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090173.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090174.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090175.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090176.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090177.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090178.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090179.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090180.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090181.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090182.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090183.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090184.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090185.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KDC,20090186.0,4.56,2.28,2.22,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
