<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KMF,20090131.0,2.8,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090132.0,4.2,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090133.0,4.9,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090134.0,5.25,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090135.0,5.425,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090136.0,5.5125,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090137.0,5.55625,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090138.0,5.578125,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090139.0,5.5890625,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090140.0,5.59453125,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090141.0,5.597265625,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090142.0,5.5986328125,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090143.0,5.59931640625,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090144.0,5.59965820312,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090145.0,5.59982910156,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090146.0,5.59991455078,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090147.0,5.59995727539,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090148.0,5.5999786377,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090149.0,5.59998931885,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090150.0,5.59999465942,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090151.0,5.59999732971,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090152.0,5.59999866486,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090153.0,5.59999933243,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090154.0,5.59999966621,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090155.0,5.59999983311,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090156.0,5.59999991655,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090157.0,5.59999995828,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090158.0,5.59999997914,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090159.0,5.59999998957,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090160.0,5.59999999478,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090161.0,5.59999999739,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090162.0,5.5999999987,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KMF,20090163.0,5.59999999935,3.0,2.8,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
