<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MKV,20090131.0,3.015,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090132.0,4.5225,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090133.0,5.27625,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090134.0,5.653125,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090135.0,5.8415625,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090136.0,5.93578125,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090137.0,5.982890625,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090138.0,6.0064453125,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090139.0,6.01822265625,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090140.0,6.02411132813,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090141.0,6.02705566406,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090142.0,6.02852783203,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090143.0,6.02926391602,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090144.0,6.02963195801,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090145.0,6.029815979,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090146.0,6.0299079895,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090147.0,6.02995399475,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090148.0,6.02997699738,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090149.0,6.02998849869,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090150.0,6.02999424934,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090151.0,6.02999712467,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090152.0,6.02999856234,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090153.0,6.02999928117,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090154.0,6.02999964058,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090155.0,6.02999982029,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090156.0,6.02999991015,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090157.0,6.02999995507,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090158.0,6.02999997754,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090159.0,6.02999998877,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090160.0,6.02999999438,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090161.0,6.02999999719,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090162.0,6.0299999986,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090163.0,6.0299999993,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090164.0,6.02999999965,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090165.0,6.02999999982,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090166.0,6.02999999991,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090167.0,6.02999999996,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090168.0,6.02999999998,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090169.0,6.02999999999,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090170.0,6.02999999999,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090171.0,6.03,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MKV,20090172.0,6.03,3.015,3.015,3.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
