<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NBB,20090131.0,3.97,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090132.0,5.955,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090133.0,6.9475,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090134.0,7.44375,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090135.0,7.691875,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090136.0,7.8159375,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090137.0,7.87796875,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090138.0,7.908984375,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090139.0,7.9244921875,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090140.0,7.93224609375,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090141.0,7.93612304688,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090142.0,7.93806152344,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090143.0,7.93903076172,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090144.0,7.93951538086,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090145.0,7.93975769043,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090146.0,7.93987884521,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090147.0,7.93993942261,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090148.0,7.9399697113,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090149.0,7.93998485565,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090150.0,7.93999242783,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090151.0,7.93999621391,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090152.0,7.93999810696,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090153.0,7.93999905348,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090154.0,7.93999952674,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090155.0,7.93999976337,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090156.0,7.93999988168,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090157.0,7.93999994084,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090158.0,7.93999997042,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090159.0,7.93999998521,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090160.0,7.93999999261,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090161.0,7.9399999963,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090162.0,7.93999999815,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090163.0,7.93999999908,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090164.0,7.93999999954,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090165.0,7.93999999977,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090166.0,7.93999999988,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090167.0,7.93999999994,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090168.0,7.93999999997,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090169.0,7.93999999999,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090170.0,7.93999999999,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090171.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090172.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090173.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090174.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090175.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090176.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090177.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090178.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090179.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090180.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090181.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090182.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090183.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090184.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090185.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090186.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090187.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090188.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090189.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090190.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090191.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090192.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090193.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090194.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090195.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090196.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090197.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090198.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090199.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090200.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090201.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090202.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090203.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090204.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090205.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090206.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090207.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090208.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090209.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090210.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090211.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090212.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090213.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090214.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090215.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090216.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090217.0,7.94,4.41,3.97,3.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090218.0,7.94,8.82,7.94,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090219.0,7.57,8.01,7.57,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090220.0,7.61,7.9,7.57,7.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090221.0,7.76,3.955,3.79,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090222.0,7.835,3.955,3.79,3.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090223.0,7.91,7.91,7.58,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090224.0,7.25,7.91,7.25,7.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090225.0,7.58,7.58,7.58,7.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090226.0,7.73,7.95,7.69,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090227.0,7.61,8.05,7.61,7.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090228.0,7.83,4.025,3.805,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NBB,20090229.0,7.94,4.025,3.805,3.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
