<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PIT,20090131.0,3.115,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090132.0,4.6725,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090133.0,5.45125,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090134.0,5.840625,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090135.0,6.0353125,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090136.0,6.13265625,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090137.0,6.181328125,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090138.0,6.2056640625,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090139.0,6.21783203125,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090140.0,6.22391601563,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090141.0,6.22695800781,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090142.0,6.22847900391,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090143.0,6.22923950195,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090144.0,6.22961975098,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090145.0,6.22980987549,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090146.0,6.22990493774,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090147.0,6.22995246887,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090148.0,6.22997623444,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090149.0,6.22998811722,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090150.0,6.22999405861,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090151.0,6.2299970293,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090152.0,6.22999851465,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090153.0,6.22999925733,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090154.0,6.22999962866,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090155.0,6.22999981433,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090156.0,6.22999990717,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090157.0,6.22999995358,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PIT,20090158.0,6.22999997679,3.22,3.01,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
