<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PNC,20090131.0,2.95,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090132.0,4.425,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090133.0,5.1625,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090134.0,5.53125,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090135.0,5.715625,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090136.0,5.8078125,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090137.0,5.85390625,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090138.0,5.876953125,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090139.0,5.8884765625,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090140.0,5.89423828125,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090141.0,5.89711914063,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090142.0,5.89855957031,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090143.0,5.89927978516,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090144.0,5.89963989258,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090145.0,5.89981994629,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090146.0,5.89990997314,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090147.0,5.89995498657,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090148.0,5.89997749329,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090149.0,5.89998874664,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090150.0,5.89999437332,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090151.0,5.89999718666,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090152.0,5.89999859333,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090153.0,5.89999929667,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090154.0,5.89999964833,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090155.0,5.89999982417,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090156.0,5.89999991208,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090157.0,5.89999995604,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090158.0,5.89999997802,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090159.0,5.89999998901,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090160.0,5.89999999451,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090161.0,5.89999999725,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090162.0,5.89999999863,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090163.0,5.89999999931,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090164.0,5.89999999966,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090165.0,5.89999999983,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PNC,20090166.0,5.89999999991,2.95,2.855,2.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
