<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
S55,20090131.0,1.785,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090132.0,2.6775,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090133.0,3.12375,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090134.0,3.346875,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090135.0,3.4584375,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090136.0,3.51421875,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090137.0,3.542109375,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090138.0,3.5560546875,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090139.0,3.56302734375,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090140.0,3.56651367187,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090141.0,3.56825683594,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090142.0,3.56912841797,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090143.0,3.56956420898,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090144.0,3.56978210449,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090145.0,3.56989105225,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090146.0,3.56994552612,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090147.0,3.56997276306,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090148.0,3.56998638153,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S55,20090149.0,3.56999319077,1.785,1.705,1.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
