<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDD,20090131.0,2.195,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090132.0,3.2925,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090133.0,3.84125,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090134.0,4.115625,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090135.0,4.2528125,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090136.0,4.32140625,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090137.0,4.355703125,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090138.0,4.3728515625,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090139.0,4.38142578125,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090140.0,4.38571289062,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090141.0,4.38785644531,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090142.0,4.38892822266,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090143.0,4.38946411133,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090144.0,4.38973205566,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDD,20090145.0,4.38986602783,2.22,2.195,2.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
