<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SJ1,20090131.0,1.93,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090132.0,2.895,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090133.0,3.3775,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090134.0,3.61875,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090135.0,3.739375,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090136.0,3.7996875,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090137.0,3.82984375,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090138.0,3.844921875,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090139.0,3.8524609375,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090140.0,3.85623046875,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090141.0,3.85811523438,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090142.0,3.85905761719,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090143.0,3.85952880859,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090144.0,3.8597644043,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090145.0,3.85988220215,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090146.0,3.85994110107,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090147.0,3.85997055054,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090148.0,3.85998527527,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090149.0,3.85999263763,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090150.0,3.85999631882,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090151.0,3.85999815941,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090152.0,3.8599990797,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090153.0,3.85999953985,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090154.0,3.85999976993,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090155.0,3.85999988496,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJ1,20090156.0,3.85999994248,1.93,1.915,1.915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
