<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SJC,20090131.0,2.25,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090132.0,3.375,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090133.0,3.9375,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090134.0,4.21875,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090135.0,4.359375,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090136.0,4.4296875,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090137.0,4.46484375,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090138.0,4.482421875,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090139.0,4.4912109375,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090140.0,4.49560546875,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090141.0,4.49780273438,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090142.0,4.49890136719,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090143.0,4.49945068359,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090144.0,4.4997253418,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090145.0,4.4998626709,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090146.0,4.49993133545,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090147.0,4.49996566772,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090148.0,4.49998283386,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090149.0,4.49999141693,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090150.0,4.49999570847,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090151.0,4.49999785423,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090152.0,4.49999892712,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090153.0,4.49999946356,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090154.0,4.49999973178,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090155.0,4.49999986589,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090156.0,4.49999993294,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090157.0,4.49999996647,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090158.0,4.49999998324,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090159.0,4.49999999162,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090160.0,4.49999999581,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090161.0,4.4999999979,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090162.0,4.49999999895,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090163.0,4.49999999948,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090164.0,4.49999999974,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090165.0,4.49999999987,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090166.0,4.49999999993,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090167.0,4.49999999997,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090168.0,4.49999999998,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090169.0,4.49999999999,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090170.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090171.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090172.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090173.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090174.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090175.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090176.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090177.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090178.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090179.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090180.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090181.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090182.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090183.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090184.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090185.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090186.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090187.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090188.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090189.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090190.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090191.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090192.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090193.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090194.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090195.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090196.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090197.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090198.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090199.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090200.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090201.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090202.0,4.5,2.25,2.25,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090203.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090204.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090205.0,4.5,4.5,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090206.0,4.81,4.81,4.78,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090207.0,4.95,2.545,2.545,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090208.0,5.02,2.545,2.545,2.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090209.0,5.09,5.09,5.09,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090210.0,5.1,5.1,4.98,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090211.0,4.69,4.69,4.69,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090212.0,4.41,4.75,4.41,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090213.0,4.44,4.44,4.44,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090214.0,4.33,2.11,2.11,2.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090215.0,4.275,2.11,2.11,2.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090216.0,4.22,4.22,4.22,4.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090217.0,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090218.0,4.41,4.41,4.38,4.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090219.0,4.69,4.69,4.69,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090220.0,4.72,4.72,4.69,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090221.0,4.69,2.345,2.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090222.0,4.675,2.345,2.33,2.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090223.0,4.66,4.69,4.66,4.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090224.0,4.73,4.91,4.73,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090225.0,4.91,4.91,4.91,4.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090226.0,4.945,2.49,2.49,2.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090227.0,4.98,4.98,4.98,4.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090228.0,5.12,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090229.0,5.19,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090230.0,5.225,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090231.0,5.2425,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090232.0,5.25125,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090233.0,5.255625,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090234.0,5.2578125,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090235.0,5.25890625,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090236.0,5.259453125,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090237.0,5.2597265625,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090238.0,5.25986328125,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090239.0,5.25993164063,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090240.0,5.25996582031,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090241.0,5.25998291016,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090242.0,5.25999145508,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090243.0,5.25999572754,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090244.0,5.25999786377,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090245.0,5.25999893188,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090246.0,5.25999946594,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090247.0,5.25999973297,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090248.0,5.25999986649,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090249.0,5.25999993324,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090250.0,5.25999996662,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090251.0,5.25999998331,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090252.0,5.25999999166,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SJC,20090253.0,5.25999999583,2.63,2.525,2.525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
