<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SNG,20090131.0,3.02,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090132.0,4.53,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090133.0,5.285,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090134.0,5.6625,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090135.0,5.85125,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090136.0,5.945625,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090137.0,5.9928125,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090138.0,6.01640625,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090139.0,6.028203125,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090140.0,6.0341015625,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090141.0,6.03705078125,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090142.0,6.03852539063,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090143.0,6.03926269531,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090144.0,6.03963134766,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090145.0,6.03981567383,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090146.0,6.03990783691,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090147.0,6.03995391846,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090148.0,6.03997695923,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090149.0,6.03998847961,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090150.0,6.03999423981,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090151.0,6.0399971199,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090152.0,6.03999855995,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090153.0,6.03999927998,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090154.0,6.03999963999,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090155.0,6.03999981999,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090156.0,6.03999991,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090157.0,6.039999955,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090158.0,6.0399999775,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090159.0,6.03999998875,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090160.0,6.03999999437,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090161.0,6.03999999719,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090162.0,6.03999999859,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090163.0,6.0399999993,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090164.0,6.03999999965,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090165.0,6.03999999982,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090166.0,6.03999999991,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090167.0,6.03999999996,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090168.0,6.03999999998,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090169.0,6.03999999999,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090170.0,6.03999999999,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090171.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090172.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090173.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090174.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090175.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090176.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090177.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090178.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090179.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090180.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090181.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090182.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090183.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090184.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090185.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090186.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090187.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090188.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090189.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090190.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090191.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090192.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090193.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090194.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090195.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090196.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090197.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090198.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090199.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090200.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090201.0,6.04,3.14,3.02,3.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090202.0,6.04,6.28,6.04,6.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090203.0,6.45,6.45,6.03,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090204.0,6.12,6.28,6.04,6.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090205.0,5.72,5.72,5.7,5.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090206.0,5.66,5.69,5.66,5.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090207.0,5.72,2.955,2.89,2.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090208.0,5.75,2.955,2.89,2.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090209.0,5.78,5.91,5.78,5.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090210.0,5.775,2.885,2.78,2.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090211.0,5.77,5.77,5.56,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090212.0,5.56,5.59,5.56,5.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090213.0,5.83,5.83,5.83,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090214.0,5.725,2.825,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090215.0,5.6725,2.825,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090216.0,5.64625,2.825,2.73,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090217.0,5.62,5.65,5.46,5.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090218.0,5.25,5.28,5.25,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090219.0,5.25,5.3,5.25,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090220.0,5.12,2.495,2.495,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090221.0,5.055,2.495,2.495,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090222.0,5.0225,2.495,2.495,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090223.0,5.00625,2.495,2.495,2.495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090224.0,4.99,4.99,4.99,4.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090225.0,5.28,5.33,5.28,5.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090226.0,5.28,5.28,5.28,5.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090227.0,5.53,5.53,5.53,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090228.0,5.64,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090229.0,5.695,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090230.0,5.7225,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090231.0,5.73625,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090232.0,5.743125,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090233.0,5.7465625,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090234.0,5.74828125,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090235.0,5.749140625,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090236.0,5.7495703125,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090237.0,5.74978515625,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090238.0,5.74989257812,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090239.0,5.74994628906,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090240.0,5.74997314453,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090241.0,5.74998657227,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090242.0,5.74999328613,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNG,20090243.0,5.74999664307,2.875,2.77,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
