<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
STL,20090131.0,4.365,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090132.0,6.5475,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090133.0,7.63875,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090134.0,8.184375,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090135.0,8.4571875,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090136.0,8.59359375,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090137.0,8.661796875,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090138.0,8.6958984375,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090139.0,8.71294921875,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090140.0,8.72147460938,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090141.0,8.72573730469,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090142.0,8.72786865234,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090143.0,8.72893432617,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090144.0,8.72946716309,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090145.0,8.72973358154,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090146.0,8.72986679077,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090147.0,8.72993339539,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090148.0,8.72996669769,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090149.0,8.72998334885,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090150.0,8.72999167442,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090151.0,8.72999583721,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090152.0,8.72999791861,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090153.0,8.7299989593,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090154.0,8.72999947965,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090155.0,8.72999973983,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090156.0,8.72999986991,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090157.0,8.72999993496,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090158.0,8.72999996748,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090159.0,8.72999998374,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090160.0,8.72999999187,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090161.0,8.72999999593,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STL,20090162.0,8.72999999797,4.365,4.34,4.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
