<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TCM,20090131.0,1.92,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090132.0,2.88,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090133.0,3.36,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090134.0,3.6,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090135.0,3.72,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090136.0,3.78,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090137.0,3.81,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090138.0,3.825,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090139.0,3.8325,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090140.0,3.83625,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090141.0,3.838125,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090142.0,3.8390625,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090143.0,3.83953125,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090144.0,3.839765625,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090145.0,3.8398828125,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090146.0,3.83994140625,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090147.0,3.83997070313,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090148.0,3.83998535156,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090149.0,3.83999267578,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090150.0,3.83999633789,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090151.0,3.83999816895,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090152.0,3.83999908447,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090153.0,3.83999954224,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090154.0,3.83999977112,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090155.0,3.83999988556,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090156.0,3.83999994278,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090157.0,3.83999997139,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090158.0,3.83999998569,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090159.0,3.83999999285,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090160.0,3.83999999642,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090161.0,3.83999999821,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090162.0,3.83999999911,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090163.0,3.83999999955,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090164.0,3.83999999978,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090165.0,3.83999999989,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090166.0,3.83999999994,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090167.0,3.83999999997,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090168.0,3.83999999999,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090169.0,3.83999999999,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090170.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090171.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090172.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090173.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090174.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090175.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090176.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090177.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090178.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090179.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090180.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090181.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090182.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090183.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090184.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090185.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090186.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090187.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090188.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090189.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090190.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090191.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090192.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090193.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090194.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090195.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090196.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090197.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090198.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090199.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090200.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090201.0,3.84,1.92,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090202.0,3.84,3.84,3.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090203.0,3.8,3.8,3.61,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090204.0,3.61,3.61,3.56,3.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090205.0,3.66,3.66,3.47,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090206.0,3.52,3.52,3.38,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090207.0,3.54,1.78,1.73,1.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090208.0,3.55,1.78,1.73,1.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090209.0,3.56,3.56,3.46,3.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090210.0,3.46,3.46,3.42,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090211.0,3.37,3.42,3.28,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090212.0,3.28,3.28,3.19,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090213.0,3.1,3.33,3.1,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090214.0,3.285,1.735,1.735,1.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090215.0,3.3775,1.735,1.735,1.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090216.0,3.47,3.47,3.47,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090217.0,3.61,3.61,3.47,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090218.0,3.33,3.42,3.33,3.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090219.0,3.33,3.33,3.19,3.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090220.0,3.1,3.19,3.1,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090221.0,3.095,1.57,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090222.0,3.0925,1.57,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090223.0,3.09,3.14,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090224.0,2.86,2.95,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090225.0,3.0,3.0,2.91,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090226.0,2.86,2.91,2.86,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090227.0,2.81,2.95,2.77,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090228.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090229.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090230.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090231.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090232.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090233.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090234.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090235.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090236.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090237.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090238.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090239.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090240.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090241.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090242.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090243.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090244.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090245.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090246.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090247.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090248.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090249.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090250.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090251.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090252.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090253.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090254.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090255.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090256.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090257.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090258.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090259.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCM,20090260.0,2.81,1.43,1.38,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
