<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TMC,20090131.0,2.92,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090132.0,4.38,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090133.0,5.11,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090134.0,5.475,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090135.0,5.6575,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090136.0,5.74875,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090137.0,5.794375,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090138.0,5.8171875,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090139.0,5.82859375,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090140.0,5.834296875,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090141.0,5.8371484375,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090142.0,5.83857421875,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090143.0,5.83928710938,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090144.0,5.83964355469,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090145.0,5.83982177734,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090146.0,5.83991088867,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090147.0,5.83995544434,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090148.0,5.83997772217,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090149.0,5.83998886108,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090150.0,5.83999443054,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090151.0,5.83999721527,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090152.0,5.83999860764,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090153.0,5.83999930382,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090154.0,5.83999965191,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090155.0,5.83999982595,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090156.0,5.83999991298,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090157.0,5.83999995649,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090158.0,5.83999997824,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090159.0,5.83999998912,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090160.0,5.83999999456,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090161.0,5.83999999728,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090162.0,5.83999999864,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090163.0,5.83999999932,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090164.0,5.83999999966,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090165.0,5.83999999983,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090166.0,5.83999999992,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090167.0,5.83999999996,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090168.0,5.83999999998,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090169.0,5.83999999999,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090170.0,5.83999999999,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090171.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090172.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090173.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090174.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090175.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090176.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090177.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090178.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090179.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090180.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090181.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090182.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090183.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090184.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090185.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TMC,20090186.0,5.84,2.92,2.92,2.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
