<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
TSC,20090131.0,3.89,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090132.0,5.835,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090133.0,6.8075,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090134.0,7.29375,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090135.0,7.536875,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090136.0,7.6584375,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090137.0,7.71921875,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090138.0,7.749609375,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090139.0,7.7648046875,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090140.0,7.77240234375,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090141.0,7.77620117187,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090142.0,7.77810058594,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090143.0,7.77905029297,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090144.0,7.77952514648,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090145.0,7.77976257324,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090146.0,7.77988128662,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090147.0,7.77994064331,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090148.0,7.77997032166,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090149.0,7.77998516083,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090150.0,7.77999258041,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090151.0,7.77999629021,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090152.0,7.7799981451,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090153.0,7.77999907255,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090154.0,7.77999953628,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090155.0,7.77999976814,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090156.0,7.77999988407,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090157.0,7.77999994203,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090158.0,7.77999997102,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090159.0,7.77999998551,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090160.0,7.77999999275,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090161.0,7.77999999638,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090162.0,7.77999999819,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090163.0,7.77999999909,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090164.0,7.77999999955,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090165.0,7.77999999977,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090166.0,7.77999999989,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090167.0,7.77999999994,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090168.0,7.77999999997,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090169.0,7.77999999999,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090170.0,7.77999999999,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090171.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090172.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090173.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090174.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090175.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090176.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090177.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090178.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090179.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090180.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090181.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090182.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090183.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090184.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090185.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090186.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090187.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090188.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090189.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090190.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090191.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090192.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090193.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090194.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090195.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090196.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090197.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090198.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090199.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090200.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090201.0,7.78,4.02,3.89,3.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090202.0,7.78,8.04,7.78,7.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090203.0,7.43,7.45,7.4,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090204.0,7.04,7.17,7.04,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090205.0,6.69,6.74,6.69,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090206.0,7.01,7.01,6.75,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090207.0,7.175,3.67,3.6,3.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090208.0,7.2575,3.67,3.6,3.665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090209.0,7.34,7.34,7.2,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090210.0,7.06,7.33,7.06,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090211.0,6.87,6.87,6.79,6.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090212.0,6.57,6.79,6.46,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090213.0,6.46,6.76,6.24,6.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090214.0,6.45,3.245,3.195,3.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090215.0,6.445,3.245,3.195,3.245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090216.0,6.44,6.49,6.39,6.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090217.0,6.52,6.52,6.3,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090218.0,6.17,6.17,6.11,6.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090219.0,6.3,6.41,6.11,6.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090220.0,6.65,6.65,6.44,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090221.0,6.58,3.31,3.16,3.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TSC,20090222.0,6.545,3.31,3.16,3.315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
