<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VIC,20090131.0,3.62,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090132.0,5.43,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090133.0,6.335,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090134.0,6.7875,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090135.0,7.01375,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090136.0,7.126875,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090137.0,7.1834375,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090138.0,7.21171875,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090139.0,7.225859375,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090140.0,7.2329296875,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090141.0,7.23646484375,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090142.0,7.23823242188,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090143.0,7.23911621094,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090144.0,7.23955810547,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090145.0,7.23977905273,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090146.0,7.23988952637,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090147.0,7.23994476318,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090148.0,7.23997238159,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090149.0,7.2399861908,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090150.0,7.2399930954,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090151.0,7.2399965477,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090152.0,7.23999827385,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090153.0,7.23999913692,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090154.0,7.23999956846,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090155.0,7.23999978423,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090156.0,7.23999989212,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090157.0,7.23999994606,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090158.0,7.23999997303,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090159.0,7.23999998651,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIC,20090160.0,7.23999999326,3.62,3.575,3.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
