<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
VSC,20090131.0,2.82,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090132.0,4.23,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090133.0,4.935,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090134.0,5.2875,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090135.0,5.46375,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090136.0,5.551875,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090137.0,5.5959375,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090138.0,5.61796875,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090139.0,5.628984375,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090140.0,5.6344921875,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090141.0,5.63724609375,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090142.0,5.63862304687,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090143.0,5.63931152344,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090144.0,5.63965576172,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090145.0,5.63982788086,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090146.0,5.63991394043,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090147.0,5.63995697021,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090148.0,5.63997848511,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090149.0,5.63998924255,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090150.0,5.63999462128,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090151.0,5.63999731064,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090152.0,5.63999865532,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090153.0,5.63999932766,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090154.0,5.63999966383,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090155.0,5.63999983191,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090156.0,5.63999991596,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090157.0,5.63999995798,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090158.0,5.63999997899,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090159.0,5.63999998949,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090160.0,5.63999999475,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VSC,20090161.0,5.63999999737,2.885,2.785,2.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
