<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
XMC,20090131.0,3.33,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090132.0,4.995,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090133.0,5.8275,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090134.0,6.24375,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090135.0,6.451875,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090136.0,6.5559375,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090137.0,6.60796875,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090138.0,6.633984375,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090139.0,6.6469921875,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090140.0,6.65349609375,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090141.0,6.65674804688,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090142.0,6.65837402344,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090143.0,6.65918701172,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090144.0,6.65959350586,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090145.0,6.65979675293,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090146.0,6.65989837646,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090147.0,6.65994918823,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090148.0,6.65997459412,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090149.0,6.65998729706,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090150.0,6.65999364853,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090151.0,6.65999682426,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090152.0,6.65999841213,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090153.0,6.65999920607,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090154.0,6.65999960303,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090155.0,6.65999980152,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090156.0,6.65999990076,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090157.0,6.65999995038,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090158.0,6.65999997519,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090159.0,6.65999998759,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090160.0,6.6599999938,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090161.0,6.6599999969,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090162.0,6.65999999845,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090163.0,6.65999999922,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090164.0,6.65999999961,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090165.0,6.65999999981,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090166.0,6.6599999999,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090167.0,6.65999999995,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090168.0,6.65999999998,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090169.0,6.65999999999,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090170.0,6.65999999999,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090171.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090172.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090173.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090174.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090175.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090176.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090177.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090178.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090179.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090180.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090181.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090182.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090183.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090184.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090185.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090186.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090187.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090188.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090189.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090190.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090191.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090192.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090193.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090194.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XMC,20090195.0,6.66,3.36,3.305,3.305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
