<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABI,20100131.0,2.375,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100132.0,3.5625,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100133.0,4.15625,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100134.0,4.453125,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100135.0,4.6015625,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100136.0,4.67578125,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100137.0,4.712890625,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100138.0,4.7314453125,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100139.0,4.74072265625,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100140.0,4.74536132812,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100141.0,4.74768066406,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100142.0,4.74884033203,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100143.0,4.74942016602,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100144.0,4.74971008301,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100145.0,4.7498550415,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100146.0,4.74992752075,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100147.0,4.74996376038,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100148.0,4.74998188019,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100149.0,4.74999094009,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100150.0,4.74999547005,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100151.0,4.74999773502,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100152.0,4.74999886751,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100153.0,4.74999943376,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100154.0,4.74999971688,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100155.0,4.74999985844,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100156.0,4.74999992922,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100157.0,4.74999996461,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100158.0,4.7499999823,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100159.0,4.74999999115,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100160.0,4.74999999558,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100161.0,4.74999999779,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100162.0,4.74999999889,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100163.0,4.74999999945,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100164.0,4.74999999972,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100165.0,4.74999999986,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100166.0,4.74999999993,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100167.0,4.74999999997,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100168.0,4.74999999998,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100169.0,4.74999999999,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100170.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100171.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100172.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100173.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100174.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100175.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100176.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100177.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100178.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100179.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100180.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100181.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100182.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100183.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100184.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100185.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100186.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100187.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100188.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100189.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100190.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100191.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100192.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100193.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100194.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100195.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100196.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100197.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100198.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100199.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100200.0,4.75,2.375,2.035,2.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABI,20100201.0,4.75,4.75,4.07,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
