<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ABT,20100131.0,10.205,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100132.0,15.3075,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100133.0,17.85875,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100134.0,19.134375,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100135.0,19.7721875,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100136.0,20.09109375,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100137.0,20.250546875,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100138.0,20.3302734375,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100139.0,20.3701367187,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100140.0,20.3900683594,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100141.0,20.4000341797,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100142.0,20.4050170898,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100143.0,20.4075085449,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100144.0,20.4087542725,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100145.0,20.4093771362,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100146.0,20.4096885681,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100147.0,20.4098442841,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100148.0,20.409922142,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100149.0,20.409961071,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100150.0,20.4099805355,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100151.0,20.4099902678,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100152.0,20.4099951339,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100153.0,20.4099975669,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100154.0,20.4099987835,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100155.0,20.4099993917,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100156.0,20.4099996959,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100157.0,20.4099998479,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100158.0,20.409999924,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100159.0,20.409999962,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100160.0,20.409999981,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100161.0,20.4099999905,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100162.0,20.4099999952,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100163.0,20.4099999976,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100164.0,20.4099999988,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100165.0,20.4099999994,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100166.0,20.4099999997,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100167.0,20.4099999999,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,20100168.0,20.4099999999,10.205,9.945,10.205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
