<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ATA,20100131.0,10.175,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100132.0,15.2625,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100133.0,17.80625,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100134.0,19.078125,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100135.0,19.7140625,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100136.0,20.03203125,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100137.0,20.191015625,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100138.0,20.2705078125,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100139.0,20.3102539063,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100140.0,20.3301269531,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100141.0,20.3400634766,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100142.0,20.3450317383,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100143.0,20.3475158691,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100144.0,20.3487579346,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100145.0,20.3493789673,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100146.0,20.3496894836,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100147.0,20.3498447418,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100148.0,20.3499223709,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100149.0,20.3499611855,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100150.0,20.3499805927,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100151.0,20.3499902964,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100152.0,20.3499951482,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100153.0,20.3499975741,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100154.0,20.349998787,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100155.0,20.3499993935,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100156.0,20.3499996968,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100157.0,20.3499998484,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100158.0,20.3499999242,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100159.0,20.3499999621,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100160.0,20.349999981,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100161.0,20.3499999905,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATA,20100162.0,20.3499999953,10.175,10.175,10.175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
