<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BMI,20100131.0,4.93,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100132.0,7.395,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100133.0,8.6275,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100134.0,9.24375,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100135.0,9.551875,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100136.0,9.7059375,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100137.0,9.78296875,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100138.0,9.821484375,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100139.0,9.8407421875,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100140.0,9.85037109375,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100141.0,9.85518554687,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100142.0,9.85759277344,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100143.0,9.85879638672,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100144.0,9.85939819336,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100145.0,9.85969909668,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100146.0,9.85984954834,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100147.0,9.85992477417,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100148.0,9.85996238708,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100149.0,9.85998119354,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100150.0,9.85999059677,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100151.0,9.85999529839,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100152.0,9.85999764919,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100153.0,9.8599988246,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100154.0,9.8599994123,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100155.0,9.85999970615,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100156.0,9.85999985307,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100157.0,9.85999992654,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100158.0,9.85999996327,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100159.0,9.85999998163,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100160.0,9.85999999082,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100161.0,9.85999999541,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100162.0,9.8599999977,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100163.0,9.85999999885,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100164.0,9.85999999943,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100165.0,9.85999999971,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100166.0,9.85999999986,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100167.0,9.85999999993,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100168.0,9.85999999996,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100169.0,9.85999999998,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100170.0,9.85999999999,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100171.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100172.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100173.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100174.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100175.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100176.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100177.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100178.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100179.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BMI,20100180.0,9.86,5.16,4.93,5.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
