<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BTP,20100131.0,3.56,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100132.0,5.34,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100133.0,6.23,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100134.0,6.675,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100135.0,6.8975,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100136.0,7.00875,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100137.0,7.064375,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100138.0,7.0921875,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100139.0,7.10609375,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100140.0,7.113046875,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100141.0,7.1165234375,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100142.0,7.11826171875,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100143.0,7.11913085937,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100144.0,7.11956542969,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BTP,20100145.0,7.11978271484,3.56,3.44,3.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
