<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
BVH,20100131.0,14.295,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100132.0,21.4425,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100133.0,25.01625,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100134.0,26.803125,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100135.0,27.6965625,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100136.0,28.14328125,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100137.0,28.366640625,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100138.0,28.4783203125,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100139.0,28.5341601563,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100140.0,28.5620800781,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100141.0,28.5760400391,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100142.0,28.5830200195,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100143.0,28.5865100098,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100144.0,28.5882550049,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100145.0,28.5891275024,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100146.0,28.5895637512,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100147.0,28.5897818756,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100148.0,28.5898909378,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100149.0,28.5899454689,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100150.0,28.5899727345,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100151.0,28.5899863672,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100152.0,28.5899931836,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100153.0,28.5899965918,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100154.0,28.5899982959,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100155.0,28.589999148,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100156.0,28.589999574,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100157.0,28.589999787,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100158.0,28.5899998935,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100159.0,28.5899999467,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100160.0,28.5899999734,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100161.0,28.5899999867,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100162.0,28.5899999933,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100163.0,28.5899999967,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BVH,20100164.0,28.5899999983,14.295,14.175,14.295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
