<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CCM,20100131.0,12.07,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100132.0,18.105,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100133.0,21.1225,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100134.0,22.63125,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100135.0,23.385625,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100136.0,23.7628125,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100137.0,23.95140625,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100138.0,24.045703125,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100139.0,24.0928515625,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100140.0,24.1164257813,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100141.0,24.1282128906,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100142.0,24.1341064453,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100143.0,24.1370532227,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100144.0,24.1385266113,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100145.0,24.1392633057,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100146.0,24.1396316528,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100147.0,24.1398158264,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100148.0,24.1399079132,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100149.0,24.1399539566,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100150.0,24.1399769783,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCM,20100151.0,24.1399884892,12.14,12.07,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
