<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CMI,20100131.0,20.43,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100132.0,30.645,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100133.0,35.7525,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100134.0,38.30625,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100135.0,39.583125,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100136.0,40.2215625,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100137.0,40.54078125,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100138.0,40.700390625,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100139.0,40.7801953125,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100140.0,40.8200976562,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100141.0,40.8400488281,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100142.0,40.8500244141,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100143.0,40.855012207,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100144.0,40.8575061035,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100145.0,40.8587530518,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100146.0,40.8593765259,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100147.0,40.8596882629,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100148.0,40.8598441315,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100149.0,40.8599220657,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100150.0,40.8599610329,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100151.0,40.8599805164,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100152.0,40.8599902582,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100153.0,40.8599951291,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100154.0,40.8599975646,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100155.0,40.8599987823,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100156.0,40.8599993911,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100157.0,40.8599996956,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100158.0,40.8599998478,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100159.0,40.8599999239,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100160.0,40.8599999619,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100161.0,40.859999981,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100162.0,40.8599999905,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100163.0,40.8599999952,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100164.0,40.8599999976,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100165.0,40.8599999988,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100166.0,40.8599999994,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100167.0,40.8599999997,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100168.0,40.8599999999,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100169.0,40.8599999999,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100170.0,40.86,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100171.0,40.86,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100172.0,40.86,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100173.0,40.86,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CMI,20100174.0,40.86,21.25,17.165,19.615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
