<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CT6,20100131.0,5.69,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100132.0,8.535,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100133.0,9.9575,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100134.0,10.66875,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100135.0,11.024375,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100136.0,11.2021875,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100137.0,11.29109375,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100138.0,11.335546875,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100139.0,11.3577734375,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100140.0,11.3688867188,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100141.0,11.3744433594,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100142.0,11.3772216797,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100143.0,11.3786108398,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100144.0,11.3793054199,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100145.0,11.37965271,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100146.0,11.379826355,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100147.0,11.3799131775,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100148.0,11.3799565887,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100149.0,11.3799782944,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100150.0,11.3799891472,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100151.0,11.3799945736,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100152.0,11.3799972868,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100153.0,11.3799986434,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100154.0,11.3799993217,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100155.0,11.3799996608,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100156.0,11.3799998304,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100157.0,11.3799999152,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100158.0,11.3799999576,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100159.0,11.3799999788,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100160.0,11.3799999894,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100161.0,11.3799999947,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100162.0,11.3799999974,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100163.0,11.3799999987,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100164.0,11.3799999993,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100165.0,11.3799999997,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100166.0,11.3799999998,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100167.0,11.3799999999,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100168.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100169.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100170.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100171.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100172.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100173.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100174.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100175.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100176.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100177.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100178.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100179.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100180.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100181.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100182.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100183.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100184.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100185.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100186.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100187.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100188.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100189.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100190.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100191.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100192.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100193.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100194.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100195.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100196.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100197.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100198.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100199.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100200.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100201.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100202.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100203.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100204.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100205.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100206.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100207.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100208.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100209.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100210.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100211.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100212.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100213.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100214.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100215.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100216.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100217.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100218.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100219.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100220.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100221.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100222.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100223.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100224.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100225.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100226.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100227.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100228.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100229.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT6,20100230.0,11.38,6.705,5.08,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
