<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
CTN,20100131.0,6.88,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100132.0,10.32,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100133.0,12.04,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100134.0,12.9,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100135.0,13.33,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100136.0,13.545,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100137.0,13.6525,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100138.0,13.70625,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100139.0,13.733125,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100140.0,13.7465625,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100141.0,13.75328125,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100142.0,13.756640625,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100143.0,13.7583203125,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100144.0,13.7591601563,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100145.0,13.7595800781,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100146.0,13.7597900391,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100147.0,13.7598950195,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100148.0,13.7599475098,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100149.0,13.7599737549,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100150.0,13.7599868774,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100151.0,13.7599934387,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100152.0,13.7599967194,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100153.0,13.7599983597,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100154.0,13.7599991798,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100155.0,13.7599995899,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100156.0,13.759999795,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100157.0,13.7599998975,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100158.0,13.7599999487,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100159.0,13.7599999744,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100160.0,13.7599999872,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100161.0,13.7599999936,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100162.0,13.7599999968,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100163.0,13.7599999984,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100164.0,13.7599999992,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100165.0,13.7599999996,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100166.0,13.7599999998,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100167.0,13.7599999999,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100168.0,13.7599999999,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100169.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100170.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100171.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100172.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100173.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100174.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100175.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100176.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100177.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTN,20100178.0,13.76,7.05,6.685,7.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
