<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DHG,20100131.0,9.95,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100132.0,14.925,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100133.0,17.4125,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100134.0,18.65625,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100135.0,19.278125,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100136.0,19.5890625,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100137.0,19.74453125,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100138.0,19.822265625,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100139.0,19.8611328125,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100140.0,19.8805664062,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100141.0,19.8902832031,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100142.0,19.8951416016,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100143.0,19.8975708008,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100144.0,19.8987854004,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100145.0,19.8993927002,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100146.0,19.8996963501,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100147.0,19.899848175,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100148.0,19.8999240875,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100149.0,19.8999620438,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100150.0,19.8999810219,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100151.0,19.8999905109,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100152.0,19.8999952555,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100153.0,19.8999976277,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100154.0,19.8999988139,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100155.0,19.8999994069,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100156.0,19.8999997035,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100157.0,19.8999998517,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100158.0,19.8999999259,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100159.0,19.8999999629,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100160.0,19.8999999815,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100161.0,19.8999999907,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100162.0,19.8999999954,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DHG,20100163.0,19.8999999977,10.105,9.71,10.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
