<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DIC,20100131.0,4.4,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100132.0,6.6,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100133.0,7.7,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100134.0,8.25,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100135.0,8.525,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100136.0,8.6625,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100137.0,8.73125,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100138.0,8.765625,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100139.0,8.7828125,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100140.0,8.79140625,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100141.0,8.795703125,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100142.0,8.7978515625,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100143.0,8.79892578125,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100144.0,8.79946289063,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100145.0,8.79973144531,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100146.0,8.79986572266,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100147.0,8.79993286133,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100148.0,8.79996643066,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100149.0,8.79998321533,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100150.0,8.79999160767,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100151.0,8.79999580383,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100152.0,8.79999790192,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100153.0,8.79999895096,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100154.0,8.79999947548,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100155.0,8.79999973774,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100156.0,8.79999986887,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100157.0,8.79999993443,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100158.0,8.79999996722,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100159.0,8.79999998361,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100160.0,8.7999999918,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100161.0,8.7999999959,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100162.0,8.79999999795,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100163.0,8.79999999898,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100164.0,8.79999999949,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100165.0,8.79999999974,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100166.0,8.79999999987,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100167.0,8.79999999994,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100168.0,8.79999999997,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100169.0,8.79999999998,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100170.0,8.79999999999,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100171.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100172.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100173.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100174.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100175.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100176.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100177.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100178.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100179.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100180.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100181.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100182.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100183.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100184.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100185.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100186.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100187.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100188.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100189.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100190.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100191.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100192.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100193.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100194.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100195.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100196.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100197.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100198.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100199.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100200.0,8.8,4.58,4.245,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100201.0,8.8,9.16,8.49,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100202.0,8.93,8.93,8.71,8.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100203.0,8.85,8.85,8.67,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100204.0,8.8,9.2,8.76,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100205.0,9.16,9.38,9.07,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100206.0,9.18,4.645,4.49,4.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100207.0,9.19,4.645,4.49,4.645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100208.0,9.2,9.29,8.98,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100209.0,9.11,9.25,9.07,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100210.0,9.42,9.47,9.2,9.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100211.0,9.38,9.47,9.29,9.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100212.0,9.43,9.56,9.43,9.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100213.0,9.61,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100214.0,9.7,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100215.0,9.745,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100216.0,9.7675,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100217.0,9.77875,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100218.0,9.784375,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100219.0,9.7871875,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100220.0,9.78859375,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100221.0,9.789296875,4.895,4.715,4.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100222.0,9.79,9.79,9.43,9.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100223.0,9.43,9.52,9.3,9.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100224.0,9.2,9.47,9.2,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100225.0,9.76,9.85,9.71,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100226.0,9.76,9.76,9.66,9.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100227.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100228.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100229.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100230.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100231.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100232.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100233.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100234.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100235.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100236.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100237.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100238.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100239.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100240.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DIC,20100241.0,9.76,4.905,4.88,4.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
