<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DID,20100131.0,5.28,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100132.0,7.92,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100133.0,9.24,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100134.0,9.9,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100135.0,10.23,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100136.0,10.395,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100137.0,10.4775,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100138.0,10.51875,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100139.0,10.539375,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100140.0,10.5496875,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100141.0,10.55484375,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100142.0,10.557421875,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100143.0,10.5587109375,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100144.0,10.5593554687,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DID,20100145.0,10.5596777344,5.305,5.06,5.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
