<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DLR,20100131.0,14.165,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100132.0,21.2475,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100133.0,24.78875,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100134.0,26.559375,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100135.0,27.4446875,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100136.0,27.88734375,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100137.0,28.108671875,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100138.0,28.2193359375,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100139.0,28.2746679687,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100140.0,28.3023339844,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100141.0,28.3161669922,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100142.0,28.3230834961,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100143.0,28.326541748,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100144.0,28.328270874,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100145.0,28.329135437,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100146.0,28.3295677185,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100147.0,28.3297838593,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100148.0,28.3298919296,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100149.0,28.3299459648,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100150.0,28.3299729824,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100151.0,28.3299864912,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100152.0,28.3299932456,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100153.0,28.3299966228,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100154.0,28.3299983114,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100155.0,28.3299991557,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100156.0,28.3299995779,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100157.0,28.3299997889,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100158.0,28.3299998945,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100159.0,28.3299999472,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100160.0,28.3299999736,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100161.0,28.3299999868,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100162.0,28.3299999934,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100163.0,28.3299999967,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100164.0,28.3299999984,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100165.0,28.3299999992,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100166.0,28.3299999996,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100167.0,28.3299999998,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100168.0,28.3299999999,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100169.0,28.3299999999,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100170.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100171.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100172.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100173.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100174.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100175.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100176.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100177.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100178.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100179.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100180.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100181.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100182.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100183.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100184.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100185.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLR,20100186.0,28.33,14.165,12.99,13.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
