<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
DVP,20100131.0,5.59,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100132.0,8.385,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100133.0,9.7825,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100134.0,10.48125,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100135.0,10.830625,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100136.0,11.0053125,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100137.0,11.09265625,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100138.0,11.136328125,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100139.0,11.1581640625,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100140.0,11.1690820312,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100141.0,11.1745410156,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100142.0,11.1772705078,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100143.0,11.1786352539,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100144.0,11.179317627,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100145.0,11.1796588135,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100146.0,11.1798294067,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100147.0,11.1799147034,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100148.0,11.1799573517,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100149.0,11.1799786758,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100150.0,11.1799893379,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100151.0,11.179994669,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100152.0,11.1799973345,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100153.0,11.1799986672,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100154.0,11.1799993336,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100155.0,11.1799996668,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100156.0,11.1799998334,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100157.0,11.1799999167,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100158.0,11.1799999584,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100159.0,11.1799999792,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100160.0,11.1799999896,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100161.0,11.1799999948,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100162.0,11.1799999974,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100163.0,11.1799999987,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100164.0,11.1799999993,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100165.0,11.1799999997,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100166.0,11.1799999998,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100167.0,11.1799999999,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100168.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100169.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100170.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100171.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100172.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100173.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100174.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100175.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100176.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100177.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100178.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100179.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100180.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100181.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100182.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100183.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100184.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100185.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100186.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100187.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100188.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100189.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100190.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100191.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100192.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DVP,20100193.0,11.18,5.605,5.53,5.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
