<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
GTT,20100131.0,6.95,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100132.0,10.425,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100133.0,12.1625,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100134.0,13.03125,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100135.0,13.465625,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100136.0,13.6828125,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100137.0,13.79140625,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100138.0,13.845703125,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100139.0,13.8728515625,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100140.0,13.8864257813,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100141.0,13.8932128906,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100142.0,13.8966064453,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100143.0,13.8983032227,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100144.0,13.8991516113,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100145.0,13.8995758057,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100146.0,13.8997879028,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100147.0,13.8998939514,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100148.0,13.8999469757,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100149.0,13.8999734879,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100150.0,13.8999867439,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100151.0,13.899993372,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100152.0,13.899996686,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100153.0,13.899998343,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100154.0,13.8999991715,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100155.0,13.8999995857,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100156.0,13.8999997929,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100157.0,13.8999998964,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100158.0,13.8999999482,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100159.0,13.8999999741,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100160.0,13.8999999871,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100161.0,13.8999999935,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTT,20100162.0,13.8999999968,7.3,6.95,6.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
