<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HAC,20100131.0,7.44,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100132.0,11.16,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100133.0,13.02,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100134.0,13.95,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100135.0,14.415,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100136.0,14.6475,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100137.0,14.76375,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100138.0,14.821875,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100139.0,14.8509375,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100140.0,14.86546875,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100141.0,14.872734375,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100142.0,14.8763671875,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100143.0,14.8781835938,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100144.0,14.8790917969,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100145.0,14.8795458984,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100146.0,14.8797729492,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100147.0,14.8798864746,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100148.0,14.8799432373,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100149.0,14.8799716187,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100150.0,14.8799858093,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100151.0,14.8799929047,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100152.0,14.8799964523,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100153.0,14.8799982262,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100154.0,14.8799991131,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100155.0,14.8799995565,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100156.0,14.8799997783,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100157.0,14.8799998891,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100158.0,14.8799999446,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100159.0,14.8799999723,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100160.0,14.8799999861,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100161.0,14.8799999931,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100162.0,14.8799999965,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100163.0,14.8799999983,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100164.0,14.8799999991,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100165.0,14.8799999996,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100166.0,14.8799999998,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100167.0,14.8799999999,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100168.0,14.8799999999,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100169.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100170.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100171.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100172.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100173.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100174.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100175.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100176.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100177.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100178.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100179.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100180.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100181.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100182.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100183.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100184.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAC,20100185.0,14.88,7.48,7.4,7.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
