<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HDG,20100131.0,7.355,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100132.0,11.0325,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100133.0,12.87125,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100134.0,13.790625,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100135.0,14.2503125,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100136.0,14.48015625,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100137.0,14.595078125,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100138.0,14.6525390625,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100139.0,14.6812695313,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100140.0,14.6956347656,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100141.0,14.7028173828,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100142.0,14.7064086914,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100143.0,14.7082043457,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100144.0,14.7091021729,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100145.0,14.7095510864,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100146.0,14.7097755432,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100147.0,14.7098877716,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100148.0,14.7099438858,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100149.0,14.7099719429,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100150.0,14.7099859715,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100151.0,14.7099929857,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100152.0,14.7099964929,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100153.0,14.7099982464,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100154.0,14.7099991232,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100155.0,14.7099995616,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDG,20100156.0,14.7099997808,7.355,7.355,7.355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
