<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
HHL,20100131.0,10.46,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100132.0,15.69,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100133.0,18.305,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100134.0,19.6125,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100135.0,20.26625,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100136.0,20.593125,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100137.0,20.7565625,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100138.0,20.83828125,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100139.0,20.879140625,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100140.0,20.8995703125,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100141.0,20.9097851563,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100142.0,20.9148925781,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100143.0,20.9174462891,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100144.0,20.9187231445,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100145.0,20.9193615723,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100146.0,20.9196807861,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100147.0,20.9198403931,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100148.0,20.9199201965,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100149.0,20.9199600983,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100150.0,20.9199800491,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100151.0,20.9199900246,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100152.0,20.9199950123,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100153.0,20.9199975061,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100154.0,20.9199987531,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100155.0,20.9199993765,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100156.0,20.9199996883,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100157.0,20.9199998441,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100158.0,20.9199999221,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100159.0,20.919999961,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100160.0,20.9199999805,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100161.0,20.9199999903,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100162.0,20.9199999951,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100163.0,20.9199999976,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100164.0,20.9199999988,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100165.0,20.9199999994,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100166.0,20.9199999997,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100167.0,20.9199999998,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100168.0,20.9199999999,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100169.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100170.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100171.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100172.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100173.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100174.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100175.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100176.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100177.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100178.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100179.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100180.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100181.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100182.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100183.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100184.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100185.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100186.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100187.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100188.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100189.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100190.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100191.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HHL,20100192.0,20.92,10.84,10.315,10.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
