<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ICG,20100131.0,8.85,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100132.0,13.275,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100133.0,15.4875,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100134.0,16.59375,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100135.0,17.146875,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100136.0,17.4234375,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100137.0,17.56171875,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100138.0,17.630859375,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100139.0,17.6654296875,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100140.0,17.6827148437,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100141.0,17.6913574219,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100142.0,17.6956787109,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100143.0,17.6978393555,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100144.0,17.6989196777,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100145.0,17.6994598389,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100146.0,17.6997299194,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100147.0,17.6998649597,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100148.0,17.6999324799,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100149.0,17.6999662399,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100150.0,17.69998312,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100151.0,17.69999156,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100152.0,17.69999578,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100153.0,17.69999789,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ICG,20100154.0,17.699998945,9.245,8.75,9.115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
