<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
ITC,20100131.0,14.985,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100132.0,22.4775,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100133.0,26.22375,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100134.0,28.096875,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100135.0,29.0334375,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100136.0,29.50171875,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100137.0,29.735859375,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100138.0,29.8529296875,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100139.0,29.9114648437,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100140.0,29.9407324219,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100141.0,29.9553662109,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100142.0,29.9626831055,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100143.0,29.9663415527,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100144.0,29.9681707764,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100145.0,29.9690853882,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100146.0,29.9695426941,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100147.0,29.969771347,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100148.0,29.9698856735,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100149.0,29.9699428368,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100150.0,29.9699714184,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100151.0,29.9699857092,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITC,20100152.0,29.9699928546,15.45,14.895,15.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
