<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KBC,20100131.0,19.335,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100132.0,29.0025,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100133.0,33.83625,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100134.0,36.253125,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100135.0,37.4615625,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100136.0,38.06578125,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100137.0,38.367890625,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100138.0,38.5189453125,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100139.0,38.5944726563,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100140.0,38.6322363281,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100141.0,38.6511181641,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100142.0,38.660559082,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100143.0,38.665279541,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100144.0,38.6676397705,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100145.0,38.6688198853,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100146.0,38.6694099426,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100147.0,38.6697049713,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100148.0,38.6698524857,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100149.0,38.6699262428,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100150.0,38.6699631214,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100151.0,38.6699815607,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KBC,20100152.0,38.6699907804,19.67,19.17,19.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
