<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
KSA,20100131.0,20.85,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100132.0,31.275,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100133.0,36.4875,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100134.0,39.09375,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100135.0,40.396875,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100136.0,41.0484375,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100137.0,41.37421875,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100138.0,41.537109375,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100139.0,41.6185546875,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100140.0,41.6592773438,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100141.0,41.6796386719,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100142.0,41.6898193359,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100143.0,41.694909668,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100144.0,41.697454834,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100145.0,41.698727417,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100146.0,41.6993637085,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100147.0,41.6996818542,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100148.0,41.6998409271,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100149.0,41.6999204636,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100150.0,41.6999602318,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100151.0,41.6999801159,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100152.0,41.6999900579,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100153.0,41.699995029,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100154.0,41.6999975145,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100155.0,41.6999987572,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100156.0,41.6999993786,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100157.0,41.6999996893,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100158.0,41.6999998447,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100159.0,41.6999999223,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100160.0,41.6999999612,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100161.0,41.6999999806,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100162.0,41.6999999903,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100163.0,41.6999999951,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100164.0,41.6999999976,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100165.0,41.6999999988,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100166.0,41.6999999994,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100167.0,41.6999999997,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100168.0,41.6999999998,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100169.0,41.6999999999,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100170.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100171.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100172.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100173.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100174.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100175.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100176.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100177.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100178.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100179.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100180.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100181.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100182.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100183.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100184.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100185.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100186.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100187.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100188.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSA,20100189.0,41.7,20.85,18.765,20.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
