<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
L43,20100131.0,6.815,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100132.0,10.2225,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100133.0,11.92625,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100134.0,12.778125,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100135.0,13.2040625,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100136.0,13.41703125,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100137.0,13.523515625,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100138.0,13.5767578125,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100139.0,13.6033789063,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100140.0,13.6166894531,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100141.0,13.6233447266,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100142.0,13.6266723633,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100143.0,13.6283361816,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100144.0,13.6291680908,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100145.0,13.6295840454,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100146.0,13.6297920227,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100147.0,13.6298960114,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100148.0,13.6299480057,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100149.0,13.6299740028,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100150.0,13.6299870014,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100151.0,13.6299935007,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100152.0,13.6299967504,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100153.0,13.6299983752,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100154.0,13.6299991876,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100155.0,13.6299995938,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100156.0,13.6299997969,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100157.0,13.6299998984,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100158.0,13.6299999492,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100159.0,13.6299999746,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100160.0,13.6299999873,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100161.0,13.6299999937,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100162.0,13.6299999968,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100163.0,13.6299999984,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100164.0,13.6299999992,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100165.0,13.6299999996,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100166.0,13.6299999998,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100167.0,13.6299999999,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100168.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100169.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100170.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100171.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100172.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100173.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100174.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100175.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100176.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100177.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100178.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100179.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100180.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100181.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L43,20100182.0,13.63,7.015,6.68,6.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
