<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
LIG,20100131.0,6.02,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100132.0,9.03,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100133.0,10.535,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100134.0,11.2875,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100135.0,11.66375,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100136.0,11.851875,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100137.0,11.9459375,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100138.0,11.99296875,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100139.0,12.016484375,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100140.0,12.0282421875,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100141.0,12.0341210937,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100142.0,12.0370605469,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100143.0,12.0385302734,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100144.0,12.0392651367,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100145.0,12.0396325684,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100146.0,12.0398162842,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100147.0,12.0399081421,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100148.0,12.039954071,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LIG,20100149.0,12.0399770355,8.21,6.02,6.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
