<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MAC,20100131.0,4.075,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100132.0,6.1125,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100133.0,7.13125,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100134.0,7.640625,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100135.0,7.8953125,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100136.0,8.02265625,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100137.0,8.086328125,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100138.0,8.1181640625,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100139.0,8.13408203125,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100140.0,8.14204101563,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100141.0,8.14602050781,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100142.0,8.14801025391,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100143.0,8.14900512695,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100144.0,8.14950256348,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100145.0,8.14975128174,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100146.0,8.14987564087,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100147.0,8.14993782043,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAC,20100148.0,8.14996891022,4.075,4.075,4.075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
