<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
MIH,20100131.0,19.685,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100132.0,29.5275,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100133.0,34.44875,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100134.0,36.909375,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100135.0,38.1396875,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100136.0,38.75484375,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100137.0,39.062421875,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100138.0,39.2162109375,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100139.0,39.2931054687,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100140.0,39.3315527344,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100141.0,39.3507763672,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100142.0,39.3603881836,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100143.0,39.3651940918,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100144.0,39.3675970459,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100145.0,39.3687985229,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100146.0,39.3693992615,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100147.0,39.3696996307,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100148.0,39.3698498154,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100149.0,39.3699249077,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100150.0,39.3699624538,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100151.0,39.3699812269,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100152.0,39.3699906135,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100153.0,39.3699953067,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100154.0,39.3699976534,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100155.0,39.3699988267,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100156.0,39.3699994133,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100157.0,39.3699997067,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100158.0,39.3699998533,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100159.0,39.3699999267,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100160.0,39.3699999633,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100161.0,39.3699999817,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100162.0,39.3699999908,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100163.0,39.3699999954,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100164.0,39.3699999977,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100165.0,39.3699999989,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100166.0,39.3699999994,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100167.0,39.3699999997,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100168.0,39.3699999999,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100169.0,39.3699999999,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100170.0,39.37,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100171.0,39.37,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100172.0,39.37,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100173.0,39.37,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIH,20100174.0,39.37,23.905,19.685,23.905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
