<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NST,20100131.0,3.77,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100132.0,5.655,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100133.0,6.5975,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100134.0,7.06875,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100135.0,7.304375,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100136.0,7.4221875,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100137.0,7.48109375,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100138.0,7.510546875,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100139.0,7.5252734375,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100140.0,7.53263671875,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100141.0,7.53631835938,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100142.0,7.53815917969,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100143.0,7.53907958984,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100144.0,7.53953979492,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100145.0,7.53976989746,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100146.0,7.53988494873,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100147.0,7.53994247437,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100148.0,7.53997123718,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100149.0,7.53998561859,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100150.0,7.5399928093,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100151.0,7.53999640465,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100152.0,7.53999820232,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100153.0,7.53999910116,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100154.0,7.53999955058,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100155.0,7.53999977529,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100156.0,7.53999988765,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100157.0,7.53999994382,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100158.0,7.53999997191,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100159.0,7.53999998596,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100160.0,7.53999999298,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NST,20100161.0,7.53999999649,3.77,3.77,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
