<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
NVT,20100131.0,15.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100132.0,22.5,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100133.0,26.25,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100134.0,28.125,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100135.0,29.0625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100136.0,29.53125,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100137.0,29.765625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100138.0,29.8828125,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100139.0,29.94140625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100140.0,29.970703125,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100141.0,29.9853515625,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100142.0,29.9926757812,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100143.0,29.9963378906,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100144.0,29.9981689453,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100145.0,29.9990844727,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100146.0,29.9995422363,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100147.0,29.9997711182,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100148.0,29.9998855591,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100149.0,29.9999427795,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100150.0,29.9999713898,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100151.0,29.9999856949,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100152.0,29.9999928474,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100153.0,29.9999964237,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100154.0,29.9999982119,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100155.0,29.9999991059,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100156.0,29.999999553,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100157.0,29.9999997765,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NVT,20100158.0,29.9999998882,15.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
