<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PPC,20100131.0,5.675,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100132.0,8.5125,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100133.0,9.93125,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100134.0,10.640625,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100135.0,10.9953125,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100136.0,11.17265625,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100137.0,11.261328125,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100138.0,11.3056640625,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100139.0,11.3278320313,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100140.0,11.3389160156,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100141.0,11.3444580078,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100142.0,11.3472290039,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100143.0,11.348614502,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100144.0,11.349307251,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100145.0,11.3496536255,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100146.0,11.3498268127,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100147.0,11.3499134064,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100148.0,11.3499567032,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100149.0,11.3499783516,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100150.0,11.3499891758,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100151.0,11.3499945879,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100152.0,11.3499972939,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100153.0,11.349998647,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100154.0,11.3499993235,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100155.0,11.3499996617,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100156.0,11.3499998309,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100157.0,11.3499999154,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100158.0,11.3499999577,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100159.0,11.3499999789,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100160.0,11.3499999894,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100161.0,11.3499999947,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100162.0,11.3499999974,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100163.0,11.3499999987,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100164.0,11.3499999993,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100165.0,11.3499999997,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100166.0,11.3499999998,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100167.0,11.3499999999,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100168.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100169.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100170.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100171.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100172.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100173.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100174.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100175.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100176.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100177.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100178.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100179.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100180.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100181.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100182.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100183.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100184.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100185.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100186.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100187.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100188.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100189.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100190.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100191.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100192.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100193.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100194.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100195.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100196.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100197.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100198.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100199.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100200.0,11.35,5.735,5.64,5.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100201.0,11.35,11.47,11.28,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100202.0,11.53,11.53,11.34,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100203.0,11.53,11.72,11.47,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100204.0,11.72,11.85,11.59,11.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100205.0,11.47,11.59,11.34,11.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100206.0,11.405,5.7,5.605,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100207.0,11.3725,5.7,5.605,5.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100208.0,11.34,11.4,11.21,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100209.0,11.15,11.22,10.97,11.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100210.0,11.28,11.28,11.09,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100211.0,11.29,11.29,11.1,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100212.0,11.34,11.47,11.34,11.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100213.0,11.565,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100214.0,11.6775,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100215.0,11.73375,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100216.0,11.761875,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100217.0,11.7759375,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100218.0,11.78296875,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100219.0,11.786484375,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100220.0,11.7882421875,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100221.0,11.7891210937,5.895,5.8,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100222.0,11.79,11.79,11.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100223.0,11.54,11.54,11.16,11.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100224.0,10.97,11.1,10.85,10.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100225.0,11.29,11.29,10.78,10.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100226.0,10.78,11.28,10.72,11.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100227.0,11.155,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100228.0,11.3425,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100229.0,11.43625,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100230.0,11.483125,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100231.0,11.5065625,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100232.0,11.51828125,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100233.0,11.524140625,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100234.0,11.5270703125,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100235.0,11.5285351562,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100236.0,11.5292675781,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100237.0,11.5296337891,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100238.0,11.5298168945,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100239.0,11.5299084473,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100240.0,11.5299542236,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100241.0,11.5299771118,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100242.0,11.5299885559,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100243.0,11.529994278,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100244.0,11.529997139,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100245.0,11.5299985695,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100246.0,11.5299992847,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100247.0,11.5299996424,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100248.0,11.5299998212,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100249.0,11.5299999106,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100250.0,11.5299999553,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100251.0,11.5299999776,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100252.0,11.5299999888,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100253.0,11.5299999944,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100254.0,11.5299999972,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100255.0,11.5299999986,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100256.0,11.5299999993,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100257.0,11.5299999997,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100258.0,11.5299999998,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100259.0,11.5299999999,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100260.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100261.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100262.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100263.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100264.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100265.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100266.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100267.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100268.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100269.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100270.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100271.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100272.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100273.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100274.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100275.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100276.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100277.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100278.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100279.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100280.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100281.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100282.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100283.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100284.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100285.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PPC,20100286.0,11.53,5.765,5.575,5.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
