<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PSB,20100131.0,6.04,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100132.0,9.06,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100133.0,10.57,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100134.0,11.325,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100135.0,11.7025,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100136.0,11.89125,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100137.0,11.985625,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100138.0,12.0328125,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100139.0,12.05640625,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100140.0,12.068203125,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100141.0,12.0741015625,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100142.0,12.0770507813,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100143.0,12.0785253906,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100144.0,12.0792626953,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100145.0,12.0796313477,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100146.0,12.0798156738,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100147.0,12.0799078369,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100148.0,12.0799539185,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100149.0,12.0799769592,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100150.0,12.0799884796,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100151.0,12.0799942398,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100152.0,12.0799971199,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100153.0,12.07999856,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSB,20100154.0,12.07999928,6.04,4.745,4.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
