<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
PVD,20100131.0,16.41,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100132.0,24.615,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100133.0,28.7175,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100134.0,30.76875,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100135.0,31.794375,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100136.0,32.3071875,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100137.0,32.56359375,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100138.0,32.691796875,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100139.0,32.7558984375,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100140.0,32.7879492188,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100141.0,32.8039746094,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100142.0,32.8119873047,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100143.0,32.8159936523,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100144.0,32.8179968262,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100145.0,32.8189984131,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100146.0,32.8194992065,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100147.0,32.8197496033,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100148.0,32.8198748016,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100149.0,32.8199374008,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100150.0,32.8199687004,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100151.0,32.8199843502,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100152.0,32.8199921751,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100153.0,32.8199960876,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100154.0,32.8199980438,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100155.0,32.8199990219,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100156.0,32.8199995109,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100157.0,32.8199997555,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100158.0,32.8199998777,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PVD,20100159.0,32.8199999389,16.55,16.27,16.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
