<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
RCL,20100131.0,15.36,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100132.0,23.04,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100133.0,26.88,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100134.0,28.8,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100135.0,29.76,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100136.0,30.24,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100137.0,30.48,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100138.0,30.6,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100139.0,30.66,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100140.0,30.69,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100141.0,30.705,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100142.0,30.7125,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100143.0,30.71625,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100144.0,30.718125,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100145.0,30.7190625,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100146.0,30.71953125,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100147.0,30.719765625,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCL,20100148.0,30.7198828125,15.36,15.03,15.065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
