<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SD4,20100131.0,5.12,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100132.0,7.68,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100133.0,8.96,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100134.0,9.6,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100135.0,9.92,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100136.0,10.08,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100137.0,10.16,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100138.0,10.2,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100139.0,10.22,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100140.0,10.23,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100141.0,10.235,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100142.0,10.2375,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100143.0,10.23875,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100144.0,10.239375,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100145.0,10.2396875,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100146.0,10.23984375,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100147.0,10.239921875,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100148.0,10.2399609375,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100149.0,10.2399804688,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100150.0,10.2399902344,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100151.0,10.2399951172,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100152.0,10.2399975586,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100153.0,10.2399987793,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100154.0,10.2399993896,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100155.0,10.2399996948,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100156.0,10.2399998474,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100157.0,10.2399999237,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100158.0,10.2399999619,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100159.0,10.2399999809,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100160.0,10.2399999905,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100161.0,10.2399999952,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100162.0,10.2399999976,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100163.0,10.2399999988,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100164.0,10.2399999994,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100165.0,10.2399999997,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100166.0,10.2399999999,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100167.0,10.2399999999,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100168.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100169.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100170.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100171.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100172.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100173.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100174.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100175.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100176.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100177.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100178.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100179.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100180.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100181.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100182.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100183.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100184.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100185.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100186.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100187.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100188.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100189.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100190.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100191.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100192.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100193.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100194.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100195.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100196.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100197.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100198.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100199.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SD4,20100200.0,10.24,5.12,5.015,5.055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
