<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDB,20100131.0,14.045,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100132.0,21.0675,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100133.0,24.57875,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100134.0,26.334375,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100135.0,27.2121875,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100136.0,27.65109375,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100137.0,27.870546875,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100138.0,27.9802734375,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100139.0,28.0351367188,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100140.0,28.0625683594,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100141.0,28.0762841797,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100142.0,28.0831420898,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100143.0,28.0865710449,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100144.0,28.0882855225,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100145.0,28.0891427612,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100146.0,28.0895713806,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100147.0,28.0897856903,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100148.0,28.0898928452,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100149.0,28.0899464226,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100150.0,28.0899732113,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100151.0,28.0899866056,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100152.0,28.0899933028,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100153.0,28.0899966514,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100154.0,28.0899983257,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100155.0,28.0899991629,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100156.0,28.0899995814,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDB,20100157.0,28.0899997907,18.06,14.045,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
