<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDH,20100131.0,11.225,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100132.0,16.8375,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100133.0,19.64375,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100134.0,21.046875,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100135.0,21.7484375,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100136.0,22.09921875,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100137.0,22.274609375,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100138.0,22.3623046875,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100139.0,22.4061523438,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100140.0,22.4280761719,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100141.0,22.4390380859,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100142.0,22.444519043,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100143.0,22.4472595215,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100144.0,22.4486297607,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100145.0,22.4493148804,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100146.0,22.4496574402,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100147.0,22.4498287201,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100148.0,22.44991436,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100149.0,22.44995718,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100150.0,22.44997859,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100151.0,22.449989295,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100152.0,22.4499946475,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100153.0,22.4499973238,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100154.0,22.4499986619,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100155.0,22.4499993309,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100156.0,22.4499996655,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100157.0,22.4499998327,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100158.0,22.4499999164,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100159.0,22.4499999582,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100160.0,22.4499999791,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100161.0,22.4499999895,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100162.0,22.4499999948,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100163.0,22.4499999974,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100164.0,22.4499999987,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100165.0,22.4499999993,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100166.0,22.4499999997,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100167.0,22.4499999998,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100168.0,22.4499999999,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100169.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100170.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100171.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100172.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100173.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100174.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100175.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100176.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100177.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100178.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100179.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100180.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100181.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100182.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100183.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100184.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100185.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100186.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100187.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100188.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100189.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100190.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100191.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100192.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100193.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100194.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100195.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100196.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100197.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100198.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100199.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100200.0,22.45,11.735,11.225,11.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100201.0,22.45,23.47,22.45,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100202.0,22.35,23.84,22.35,23.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100203.0,23.5,23.8,22.84,23.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100204.0,23.84,23.84,23.44,23.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDH,20100205.0,23.71,24.5,22.85,23.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
