<Ticker>,<DTYYYYMMDD>,<OpenFixed>,<HighFixed>,<LowFixed>,<CloseFixed>,<Volume>,<Open>,<High>,<Low>,<Close>,<VolumeDeal>,<VolumeFB>,<VolumeFS>
SDJ,20100131.0,9.41,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100132.0,14.115,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100133.0,16.4675,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100134.0,17.64375,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100135.0,18.231875,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100136.0,18.5259375,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100137.0,18.67296875,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100138.0,18.746484375,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100139.0,18.7832421875,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100140.0,18.8016210938,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100141.0,18.8108105469,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100142.0,18.8154052734,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100143.0,18.8177026367,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100144.0,18.8188513184,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100145.0,18.8194256592,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100146.0,18.8197128296,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100147.0,18.8198564148,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100148.0,18.8199282074,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100149.0,18.8199641037,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100150.0,18.8199820518,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100151.0,18.8199910259,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100152.0,18.819995513,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SDJ,20100153.0,18.8199977565,10.055,9.36,10.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
